model_id,display,factor,arm,n,n_legal_labels,another_wrong_possible,n_another_wrong,schema_note,B_correct__arm_correct__pred_unchanged,p_B_correct__arm_correct__pred_unchanged,B_correct__arm_correct__pred_flipped,p_B_correct__arm_correct__pred_flipped,B_correct__arm_wrong__pred_flipped,p_B_correct__arm_wrong__pred_flipped,B_correct__arm_wrong__pred_unchanged,p_B_correct__arm_wrong__pred_unchanged,B_wrong__arm_correct__pred_flipped,p_B_wrong__arm_correct__pred_flipped,B_wrong__arm_correct__pred_unchanged,p_B_wrong__arm_correct__pred_unchanged,B_wrong__arm_wrong__pred_unchanged,p_B_wrong__arm_wrong__pred_unchanged,B_wrong__arm_wrong__pred_changed_to_another_wrong,p_B_wrong__arm_wrong__pred_changed_to_another_wrong
qwen3_vl_4b_instruct,Qwen,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
qwen3_vl_4b_instruct,Qwen,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
qwen3_vl_4b_instruct,Qwen,count,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,34,0.17,0,0.0,166,0.83,0,0.0,0,0.0,0,0.0,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",199,0.995,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,199,0.995,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,197,0.985,0,0.0,3,0.015,0,0.0,0,0.0,0,0.0,0,0.0
gemma3_4b_it,Gemma,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",182,0.91,0,0.0,5,0.025,0,0.0,11,0.055,0,0.0,2,0.01,0,0.0
gemma3_4b_it,Gemma,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,178,0.89,0,0.0,9,0.045,0,0.0,13,0.065,0,0.0,0,0.0
gemma3_4b_it,Gemma,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",127,0.635,0,0.0,18,0.09,0,0.0,8,0.04,0,0.0,47,0.235,0,0.0
