model_id,display,factor,metric,source,canonical_value,reconstructed_value,absolute_diff,pass
qwen3_vl_4b_instruct,Qwen,attribute,PFC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,count,PFC,frozen_compute_audit_metrics,0.17,0.17,0.0,True
qwen3_vl_4b_instruct,Qwen,count,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,count,RA,frozen_compute_audit_metrics,0.17,0.17,0.0,True
qwen3_vl_4b_instruct,Qwen,count,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,count,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,PFC,frozen_compute_audit_metrics,0.995,0.995,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,PSC,frozen_compute_audit_metrics,0.995,0.995,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,audit_base_accuracy,frozen_compute_audit_metrics,0.995,0.995,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,PFC,frozen_compute_audit_metrics,0.985,0.985,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,RA,frozen_compute_audit_metrics,0.985,0.985,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
gemma3_4b_it,Gemma,attribute,PFC,frozen_compute_audit_metrics,0.89,0.89,0.0,True
gemma3_4b_it,Gemma,attribute,PSC,frozen_compute_audit_metrics,0.91,0.91,0.0,True
gemma3_4b_it,Gemma,attribute,RA,frozen_compute_audit_metrics,0.9518716577540107,0.9518716577540107,0.0,True
gemma3_4b_it,Gemma,attribute,II,frozen_compute_audit_metrics,0.9732620320855615,0.9732620320855615,0.0,True
gemma3_4b_it,Gemma,attribute,audit_base_accuracy,frozen_compute_audit_metrics,0.935,0.935,0.0,True
gemma3_4b_it,Gemma,count,PFC,frozen_compute_audit_metrics,0.235,0.235,0.0,True
gemma3_4b_it,Gemma,count,PSC,frozen_compute_audit_metrics,0.635,0.635,0.0,True
gemma3_4b_it,Gemma,count,RA,frozen_compute_audit_metrics,0.32413793103448274,0.32413793103448274,0.0,True
gemma3_4b_it,Gemma,count,II,frozen_compute_audit_metrics,0.8758620689655172,0.8758620689655172,0.0,True
gemma3_4b_it,Gemma,count,audit_base_accuracy,frozen_compute_audit_metrics,0.725,0.725,0.0,True
gemma3_4b_it,Gemma,presence,PFC,frozen_compute_audit_metrics,0.595,0.595,0.0,True
gemma3_4b_it,Gemma,presence,PSC,frozen_compute_audit_metrics,0.99,0.99,0.0,True
gemma3_4b_it,Gemma,presence,RA,frozen_compute_audit_metrics,0.601010101010101,0.601010101010101,0.0,True
gemma3_4b_it,Gemma,presence,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
gemma3_4b_it,Gemma,presence,audit_base_accuracy,frozen_compute_audit_metrics,0.99,0.99,0.0,True
gemma3_4b_it,Gemma,spatial,PFC,frozen_compute_audit_metrics,0.0,0.0,0.0,True
gemma3_4b_it,Gemma,spatial,PSC,frozen_compute_audit_metrics,0.715,0.715,0.0,True
gemma3_4b_it,Gemma,spatial,RA,frozen_compute_audit_metrics,0.0,0.0,0.0,True
gemma3_4b_it,Gemma,spatial,II,frozen_compute_audit_metrics,0.9794520547945206,0.9794520547945206,0.0,True
