model_id,display,factor,metric,canonical_value,reconstructed_value,absolute_diff,pass
qwen3_vl_4b_instruct,Qwen,attribute,audit_base_accuracy,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,RA,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,II,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,PFC,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,attribute,PSC,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,count,audit_base_accuracy,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,count,RA,0.17,0.17,0.0,True
qwen3_vl_4b_instruct,Qwen,count,II,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,count,PFC,0.17,0.17,0.0,True
qwen3_vl_4b_instruct,Qwen,count,PSC,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,audit_base_accuracy,0.995,0.995,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,RA,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,II,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,PFC,0.995,0.995,0.0,True
qwen3_vl_4b_instruct,Qwen,presence,PSC,0.995,0.995,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,audit_base_accuracy,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,RA,0.985,0.985,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,II,1.0,1.0,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,PFC,0.985,0.985,0.0,True
qwen3_vl_4b_instruct,Qwen,spatial,PSC,1.0,1.0,0.0,True
gemma3_4b_it,Gemma,attribute,audit_base_accuracy,0.935,0.935,0.0,True
gemma3_4b_it,Gemma,attribute,RA,0.9518716577540107,0.9518716577540107,0.0,True
gemma3_4b_it,Gemma,attribute,II,0.9732620320855615,0.9732620320855615,0.0,True
gemma3_4b_it,Gemma,attribute,PFC,0.89,0.89,0.0,True
gemma3_4b_it,Gemma,attribute,PSC,0.91,0.91,0.0,True
gemma3_4b_it,Gemma,count,audit_base_accuracy,0.725,0.725,0.0,True
gemma3_4b_it,Gemma,count,RA,0.32413793103448274,0.32413793103448274,0.0,True
gemma3_4b_it,Gemma,count,II,0.8758620689655172,0.8758620689655172,0.0,True
gemma3_4b_it,Gemma,count,PFC,0.235,0.235,0.0,True
gemma3_4b_it,Gemma,count,PSC,0.635,0.635,0.0,True
gemma3_4b_it,Gemma,presence,audit_base_accuracy,0.99,0.99,0.0,True
gemma3_4b_it,Gemma,presence,RA,0.601010101010101,0.601010101010101,0.0,True
gemma3_4b_it,Gemma,presence,II,1.0,1.0,0.0,True
gemma3_4b_it,Gemma,presence,PFC,0.595,0.595,0.0,True
gemma3_4b_it,Gemma,presence,PSC,0.99,0.99,0.0,True
gemma3_4b_it,Gemma,spatial,audit_base_accuracy,0.73,0.73,0.0,True
gemma3_4b_it,Gemma,spatial,RA,0.0,0.0,0.0,True
