model_id,family,rank,checkpoint,revision,parameter_size,estimated_gb,source,fallback,license,bf16,sdpa,custom_kernel_risk,status,worker_2of2,notes
qwen3_vl_4b_instruct,qwen_vl,P0,Qwen/Qwen3-VL-4B-Instruct,main,4B,9,huggingface,modelscope,apache-2.0,yes,yes,low,UNTESTED,0,Signal Gate family 1
gemma3_4b_it,gemma,P0,google/gemma-3-4b-it,main,4B,9,huggingface,modelscope,gemma,yes,yes,low,UNTESTED,0,Gated; Signal Gate family 2
molmo_7b_d_0924,molmo,P0,allenai/Molmo-7B-D-0924,main,7B,15,huggingface,modelscope,apache-2.0,yes,yes,low,UNTESTED,0,Signal Gate family 3
skywork_vl_reward_7b,specialized_vl_reward,P0,Skywork/Skywork-VL-Reward-7B,main,7B,15,huggingface,modelscope,unknown,yes,unknown,unknown,UNTESTED,0,Signal Gate specialized RM
qwen3_vl_8b_instruct,qwen_vl,P1,Qwen/Qwen3-VL-8B-Instruct,main,8B,16,huggingface,modelscope,apache-2.0,yes,yes,low,UNTESTED,1,Fast-track scale
gemma3_12b_it,gemma,P1,google/gemma-3-12b-it,main,12B,24,huggingface,modelscope,gemma,yes,yes,low,UNTESTED,1,Gated
internvl3_8b,internvl,P1,OpenGVLab/InternVL3-8B,main,8B,16,huggingface,modelscope,mit,yes,unknown,medium,UNTESTED,1,Custom modeling risk
llama32_11b_vision_instruct,llama_vision,P1,meta-llama/Llama-3.2-11B-Vision-Instruct,main,11B,22,huggingface,none,llama3.2,yes,unknown,medium,UNTESTED,1,Gated; CUDA-custom-op risk
qwen2_5_vl_7b_instruct,qwen_vl,P2,Qwen/Qwen2.5-VL-7B-Instruct,main,7B,15,huggingface,modelscope,apache-2.0,yes,yes,low,UNTESTED,,Replacement
molmo_7b_o_0924,molmo,P2,allenai/Molmo-7B-O-0924,main,7B,15,huggingface,modelscope,apache-2.0,yes,yes,low,UNTESTED,,Replacement
ixc25_reward_7b,specialized_vl_reward,P2,internlm/internlm-xcomposer2d5-7b-reward,main,7B,15,huggingface,modelscope,unknown,yes,unknown,unknown,UNTESTED,,Replacement for Skywork
