model_id,display,factor,state,C_B,C_R,C_I,n,pi
qwen3_vl_4b_instruct,Qwen,attribute,000,0,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,001,0,0,1,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,010,0,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,011,0,1,1,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,100,1,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,101,1,0,1,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,110,1,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,attribute,111,1,1,1,200,1.0
qwen3_vl_4b_instruct,Qwen,count,000,0,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,count,001,0,0,1,0,0.0
qwen3_vl_4b_instruct,Qwen,count,010,0,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,count,011,0,1,1,0,0.0
qwen3_vl_4b_instruct,Qwen,count,100,1,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,count,101,1,0,1,166,0.83
qwen3_vl_4b_instruct,Qwen,count,110,1,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,count,111,1,1,1,34,0.17
qwen3_vl_4b_instruct,Qwen,presence,000,0,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,001,0,0,1,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,010,0,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,011,0,1,1,1,0.005
qwen3_vl_4b_instruct,Qwen,presence,100,1,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,101,1,0,1,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,110,1,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,presence,111,1,1,1,199,0.995
qwen3_vl_4b_instruct,Qwen,spatial,000,0,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,001,0,0,1,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,010,0,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,011,0,1,1,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,100,1,0,0,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,101,1,0,1,3,0.015
qwen3_vl_4b_instruct,Qwen,spatial,110,1,1,0,0,0.0
qwen3_vl_4b_instruct,Qwen,spatial,111,1,1,1,197,0.985
gemma3_4b_it,Gemma,attribute,000,0,0,0,0,0.0
gemma3_4b_it,Gemma,attribute,001,0,0,1,0,0.0
gemma3_4b_it,Gemma,attribute,010,0,1,0,2,0.01
gemma3_4b_it,Gemma,attribute,011,0,1,1,11,0.055
gemma3_4b_it,Gemma,attribute,100,1,0,0,0,0.0
